somebody,372,8923
Dr,373,8917
heart,374,8824
such,375,8813
miss,376,8806
married,377,8798
point,378,8707
later,379,8636
making,380,8623
meet,381,8608
anyway,382,8517
many,383,8504
phone,384,8424
reason,385,8395
damn,386,8367
lost,387,8348
looks,388,8337
bring,389,8320
case,390,8287
turn,391,8264
wish,392,8262
tomorrow,393,8254
kids,394,8247
trust,395,8187
check,396,8185
change,397,8176
end,398,8171
late,399,8164
anymore,400,8160
five,401,8137
least,402,8119
town,403,8099
aren't,404,8065
ha,405,8033
working,406,8016
year,407,8013
makes,408,8001
taking,409,7996
means,410,7980
brother,411,7952
play,412,7883
hate,413,7839
ago,414,7836
says,415,7821
beautiful,416,7813
gave,417,7759
fact,418,7654
crazy,419,7650
party,420,7633
sit,421,7625
open,422,7598
afraid,423,7587
between,424,7585
important,425,7582
rest,426,7417
fun,427,7404
kid,428,7380
word,429,7355
watch,430,7310
glad,431,7277
everyone,432,7214
days,433,7213
sister,434,7188
minutes,435,7185
everybody,436,7163
bit,437,7158
couple,438,7150
whoa,439,7081
either,440,7075
Mrs,441,7064
feeling,442,7058
daughter,443,7057
wow,444,7036
gets,445,7023
asked,446,7009
under,447,6999
break,448,6941
promise,449,6926
door,450,6907
set,451,6878
close,452,6877
hand,453,6872
easy,454,6848
question,455,6841
doctor,456,6841
tried,457,6830
far,458,6728
walk,459,6619
needs,460,6555
trouble,461,6510
mine,462,6503
though,463,6502
times,464,6475
different,465,6464
killed,466,6390
hospital,467,6378
anybody,468,6376
Sam,469,6354
alright,470,6348
wedding,471,6334
shut,472,6294
able,473,6289
die,474,6280
perfect,475,6276
police,476,6260
stand,477,6257
comes,478,6256
hit,479,6248
story,480,6231
ya,481,6212
mm,482,6192
waiting,483,6132
dinner,484,6099
against,485,6064
funny,486,6054
husband,487,6038
almost,488,6037
stupid,489,6020
pay,490,6016
answer,491,6016
four,492,6014
office,493,5955
cool,494,5954
eyes,495,5950
news,496,5936
child,497,5913
shouldn't,498,5874
half,499,5819
side,500,5813
yours,501,5805
moment,502,5770
sleep,503,5747
read,504,5743
where's,505,5711
started,506,5707
young,507,5680
men,508,5678
sounds,509,5665
sonny,510,5635
lucky,511,5631
pick,512,5610
sometimes,513,5596
